ID,Brand,Category,Color,Material,Style,Gender,Season,Price(USD),Popularity_Score,Customer_Rating,Trend_Status
1,Adidas,Gloves,Brown,Polyester,Streetwear,Women,Winter 2025,244.06,6.0,4.9,Trending
2,Gucci,Gloves,Red,Leather,Sporty,Men,Winter 2023,366.73,8.8,3.3,Trending
3,H&M,Coat,Brown,Fleece,Streetwear,Unisex,Winter 2025,741.55,4.8,3.5,Trending
4,North Face,Coat,Blue,Cashmere,Formal,Men,Winter 2024,116.09,7.5,3.1,Outdated
5,Mango,Thermal,Blue,Cashmere,Formal,Unisex,Winter 2025,193.16,7.8,4.3,Outdated
6,Uniqlo,Thermal,Black,Fleece,Formal,Unisex,Winter 2025,699.85,1.7,4.2,Outdated
7,Uniqlo,Coat,Gray,Fleece,Casual,Men,Winter 2025,497.79,9.7,3.0,Trending
8,Mango,Sweater,Cream,Cotton,Streetwear,Unisex,Winter 2025,579.37,6.6,3.8,Outdated
9,Gucci,Gloves,Brown,Cotton,Casual,Unisex,Winter 2024,315.96,6.2,2.8,Outdated
10,Mango,Scarf,Maroon,Leather,Luxury,Unisex,Winter 2023,468.58,2.5,4.9,Classic
11,Gucci,Beanie,Gray,Cotton,Sporty,Unisex,Winter 2023,452.18,3.3,2.6,Outdated
12,Adidas,Scarf,Green,Polyester,Streetwear,Women,Winter 2024,568.66,2.6,3.1,Emerging
13,Zara,Cardigan,Beige,Cashmere,Luxury,Men,Winter 2023,532.17,1.2,2.5,Trending
14,Mango,Thermal,Beige,Cashmere,Streetwear,Men,Winter 2025,95.96,2.4,3.3,Classic
15,Uniqlo,Gloves,Brown,Cashmere,Formal,Unisex,Winter 2025,735.62,5.8,4.0,Classic
16,Uniqlo,Scarf,Brown,Wool,Formal,Women,Winter 2023,52.28,3.9,3.7,Classic
17,H&M,Jacket,White,Fleece,Formal,Men,Winter 2023,694.54,6.2,3.1,Emerging
18,Adidas,Cardigan,White,Leather,Casual,Men,Winter 2025,779.5,2.5,4.3,Trending
19,Mango,Cardigan,Gray,Cashmere,Luxury,Women,Winter 2025,640.65,8.4,4.1,Outdated
20,Prada,Sweater,Beige,Wool,Streetwear,Women,Winter 2024,702.19,6.4,3.2,Outdated
21,Prada,Coat,Red,Fleece,Formal,Unisex,Winter 2024,586.84,6.4,4.7,Emerging
22,Gucci,Coat,Black,Leather,Streetwear,Unisex,Winter 2025,134.66,4.7,3.3,Outdated
23,North Face,Hoodie,Beige,Cotton,Casual,Unisex,Winter 2025,143.48,6.5,4.5,Emerging
24,Mango,Thermal,Gray,Cotton,Casual,Unisex,Winter 2023,359.6,5.1,2.9,Outdated
